address_id,address,address2,district,city_id,postal_code,phone
1,47 MySakila Drive,NULL,Alberta,300,,
2,28 MySQL Boulevard,NULL,QLD,576,,
3,23 Workhaven Lane,NULL,Alberta,300,,14033335568
4,1411 Lillydale Drive,NULL,QLD,576,,6172235589
5,1913 Hanoi Way,,Nagasaki,463,35200,28303384290
6,1121 Loja Avenue,,California,449,17886,838635286649
7,692 Joliet Street,,Attika,38,83579,448477190408
8,1566 Inegl Manor,,Mandalay,349,53561,705814003527
9,53 Idfu Parkway,,Nantou,361,42399,10655648674
10,1795 Santiago de Compostela Way,,Texas,295,18743,860452626434
11,900 Santiago de Compostela Parkway,,Central Serbia,280,93896,716571220373
12,478 Joliet Way,,Hamilton,200,77948,657282285970
13,613 Korolev Drive,,Masqat,329,45844,380657522649
14,1531 Sal Drive,,Esfahan,162,53628,648856936185
15,1542 Tarlac Parkway,,Kanagawa,440,1027,635297277345
16,808 Bhopal Manor,,Haryana,582,10672,465887807014
17,270 Amroha Parkway,,Osmaniye,384,29610,695479687538
18,770 Bydgoszcz Avenue,,California,120,16266,517338314235
19,419 Iligan Lane,,Madhya Pradesh,76,72878,990911107354
20,360 Toulouse Parkway,,England,495,54308,949312333307
21,270 Toulon Boulevard,,Kalmykia,156,81766,407752414682
22,320 Brest Avenue,,Kaduna,252,43331,747791594069
23,1417 Lancaster Avenue,,Northern Cape,267,72192,272572357893
24,1688 Okara Way,,Nothwest Border Prov,327,21954,144453869132
25,262 A Corua (La Corua) Parkway,,Dhaka,525,34418,892775750063
26,28 Charlotte Amalie Street,,Rabat-Sal-Zammour-Z,443,37551,161968374323
27,1780 Hino Boulevard,,Liepaja,303,7716,902731229323
28,96 Tafuna Way,,Crdoba,128,99865,934730187245
29,934 San Felipe de Puerto Plata Street,,Sind,472,99780,196495945706
30,18 Duisburg Boulevard,,,121,58327,998009777982
31,217 Botshabelo Place,,Southern Mindanao,138,49521,665356572025
32,1425 Shikarpur Manor,,Bihar,346,65599,678220867005
33,786 Aurora Avenue,,Yamaguchi,474,65750,18461860151
34,1668 Anpolis Street,,Taipei,316,50199,525255540978
35,33 Gorontalo Way,,West Bengali,257,30348,745994947458
36,176 Mandaluyong Place,,Uttar Pradesh,239,65213,627705991774
37,127 Purnea (Purnia) Manor,,Piemonte,17,79388,911872220378
38,61 Tama Street,,Okayama,284,94065,708403338270
39,391 Callao Drive,,Midi-Pyrnes,544,34021,440512153169
40,334 Munger (Monghyr) Lane,,Markazi,31,38145,481183273622
41,1440 Fukuyama Loop,,Henan,362,47929,912257250465
42,269 Cam Ranh Parkway,,Chisinau,115,34689,489783829737
43,306 Antofagasta Place,,Esprito Santo,569,3989,378318851631
44,671 Graz Street,,Oriental,353,94399,680768868518
45,42 Brindisi Place,,Yerevan,586,16744,42384721397
46,1632 Bislig Avenue,,Nonthaburi,394,61117,471675840679
47,1447 Imus Way,,Tahiti,167,48942,539758313890
48,1998 Halifax Drive,,Lipetsk,308,76022,177727722820
49,1718 Valencia Street,,Antofagasta,27,37359,675292816413
50,46 Pjatigorsk Lane,,Moscow (City),343,23616,262076994845
51,686 Garland Manor,,Cear,247,52535,69493378813
52,909 Garland Manor,,Tatarstan,367,69367,705800322606
53,725 Isesaki Place,,Mekka,237,74428,876295323994
54,115 Hidalgo Parkway,,Khartum,379,80168,307703950263
55,1135 Izumisano Parkway,,California,171,48150,171822533480
56,939 Probolinggo Loop,,Galicia,1,4166,680428310138
57,17 Kabul Boulevard,,Chiba,355,38594,697760867968
58,1964 Allappuzha (Alleppey) Street,,Yamaguchi,227,48980,920811325222
59,1697 Kowloon and New Kowloon Loop,,Moskova,49,57807,499352017190
60,1668 Saint Louis Place,,Tahiti,397,39072,347487831378
61,943 Tokat Street,,Vaduz,560,45428,889318963672
62,1114 Liepaja Street,,Sarawak,282,69226,212869228936
63,1213 Ranchi Parkway,,Karnataka,350,94352,800024380485
64,81 Hodeida Way,,Rajasthan,231,55561,250767749542
65,915 Ponce Place,,Basel-Stadt,56,83980,1395251317
66,1717 Guadalajara Lane,,Missouri,441,85505,914090181665
67,1214 Hanoi Way,,Nebraska,306,67055,491001136577
68,1966 Amroha Avenue,,Sichuan,139,70385,333489324603
69,698 Otsu Street,,Cayenne,105,71110,409983924481
70,1150 Kimchon Manor,,Skne ln,321,96109,663449333709
71,1586 Guaruj Place,,Hunan,579,5135,947233365992
72,57 Arlington Manor,,Madhya Pradesh,475,48960,990214419142
73,1031 Daugavpils Parkway,,Bchar,63,59025,107137400143
74,1124 Buenaventura Drive,,Mekka,13,6856,407733804223
75,492 Cam Ranh Street,,Eastern Visayas,61,50805,565018274456
76,89 Allappuzha (Alleppey) Manor,,National Capital Reg,517,75444,255800440636
77,1947 Poos de Caldas Boulevard,,Chiayi,114,60951,427454485876
78,1206 Dos Quebradas Place,,So Paulo,431,20207,241832790687
79,1551 Rampur Lane,,Changhwa,108,72394,251164340471
80,602 Paarl Street,,Pavlodar,402,98889,896314772871
81,1692 Ede Loop,,So Paulo,30,9223,918711376618
82,936 Salzburg Lane,,Uttar Pradesh,425,96709,875756771675
83,586 Tete Way,,Kanagawa,256,1079,18581624103
84,1888 Kabul Drive,,Oyo & Osun,217,20936,701457319790
85,320 Baiyin Parkway,,Mahajanga,319,37307,223664661973
86,927 Baha Blanca Parkway,,Krim,479,9495,821972242086
87,929 Tallahassee Loop,,Gauteng,497,74671,800716535041
88,125 Citt del Vaticano Boulevard,,Puebla,40,67912,48417642933
89,1557 Ktahya Boulevard,,England,88,88002,720998247660
90,870 Ashqelon Loop,,Songkhla,489,84931,135117278909
91,1740 Portoviejo Avenue,,Sucre,480,29932,198123170793
92,1942 Ciparay Parkway,,Cheju,113,82624,978987363654
93,1926 El Alto Avenue,,Buenos Aires,289,75543,846225459260
94,1952 Chatsworth Drive,,Guangdong,332,25958,991562402283
95,1370 Le Mans Avenue,,Brunei and Muara,53,52163,345679835036
96,984 Effon-Alaiye Avenue,,Gois,183,17119,132986892228
97,832 Nakhon Sawan Manor,,Inner Mongolia,592,49021,275595571388
98,152 Kitwe Parkway,,Caraga,82,53182,835433605312
99,1697 Tanauan Lane,,Punjab,399,22870,4764773857
100,1308 Arecibo Way,,Georgia,41,30695,6171054059
